Cap Hit,Chip,Games Missed,Injury Type,Player,Position,Season,Team,Games Missed
0.5,36.585365854,6,Eye,"Calder, Kyle",F,2009/10,Anaheim,6
0.625,22.865853659,3,Foot,"Carter, Ryan",F,2009/10,Anaheim,3
0.625,167.682926829,22,Foot,"Carter, Ryan",F,2009/10,Anaheim,22
5.325,64.939024390,1,Ankle,"Getzlaf, Ryan",F,2009/10,Anaheim,1
5.325,129.878048780,2,Ankle,"Getzlaf, Ryan",F,2009/10,Anaheim,2
5.325,584.451219512,9,Ankle,"Getzlaf, Ryan",F,2009/10,Anaheim,9
5.325,259.756097561,4,Leg,"Getzlaf, Ryan",F,2009/10,Anaheim,4
3.25,198.170731707,5,Groin,"Koivu, Saku",F,2009/10,Anaheim,5
3.25,158.536585366,4,Knee,"Koivu, Saku",F,2009/10,Anaheim,4
4.25,362.804878049,7,Back,"Lupul, Joffrey",F,2009/10,Anaheim,7
4.25,2695.121951220,52,Back,"Lupul, Joffrey",F,2009/10,Anaheim,52
0.85,31.097560976,3,Abdominal,"Nokelainen, Petteri",F,2009/10,Anaheim,3
0.875,21.341463415,2,Head,"Parros, George",F,2009/10,Anaheim,2
1.922,23.439024390,1,Flu,"Ryan, Bobby",F,2009/10,Anaheim,1
2.625,32.012195122,1,Flu,"Selanne, Teemu",F,2009/10,Anaheim,1
2.625,544.207317073,17,Hand,"Selanne, Teemu",F,2009/10,Anaheim,17
2.625,256.097560976,8,Jaw,"Selanne, Teemu",F,2009/10,Anaheim,8
1.125,13.719512195,1,Back,"Eminger, Steve",D,2009/10,Anaheim,1
1.125,41.158536585,3,Flu,"Eminger, Steve",D,2009/10,Anaheim,3
5.6,204.878048780,3,Hand,"Visnovsky, Lubomir",D,2009/10,Anaheim,3
2.5,30.487804878,1,Foot,"Ward, Aaron",D,2009/10,Anaheim,1
2.75,100.609756098,3,Shoulder,"Wisniewski, James",D,2009/10,Anaheim,3
6,439.024390244,6,Groin,"Giguere, Jean-Sebastien",G,2009/10,Anaheim,6
1.3,63.414634146,4,Back,"Hiller, Jonas",G,2009/10,Anaheim,4
1.1,40.243902439,3,Lower body,"Fiddler, Vernon",F,2009/10,Arizona/Phoenix,6
0.98,11.951219512,1,Lower body,"Hanzal, Martin",F,2009/10,Arizona/Phoenix,1
1,207.317073171,17,Lower body,"Lang, Robert",F,2009/10,Arizona/Phoenix,17
1,12.195121951,1,Undisclosed,"Lang, Robert",F,2009/10,Arizona/Phoenix,1
1.817,22.158536585,1,Lower body,"Lombardi, Matthew",F,2009/10,Arizona/Phoenix,1
1.817,66.475609756,3,Lower body,"Lombardi, Matthew",F,2009/10,Arizona/Phoenix,3
1.7,62.195121951,3,Upper body,"Mueller, Peter",F,2009/10,Arizona/Phoenix,3
0.588,21.512195122,3,Upper body,"Perrault, Joel",F,2009/10,Arizona/Phoenix,3
0.6,36.585365854,5,Lower body,"Pyatt, Taylor",F,2009/10,Arizona/Phoenix,5
1.5,512.195121951,28,Knee,"Upshall, Scottie",F,2009/10,Arizona/Phoenix,28
1.5,18.292682927,1,Lower body,"Upshall, Scottie",F,2009/10,Arizona/Phoenix,1
1.5,54.878048780,3,Upper body,"Upshall, Scottie",F,2009/10,Arizona/Phoenix,3
0.6,36.585365854,5,Arm,"Winnik, Daniel",F,2009/10,Arizona/Phoenix,5
0.6,14.634146341,2,Upper body,"Winnik, Daniel",F,2009/10,Arizona/Phoenix,2
6.5,158.536585366,2,Lower body,"Jovanovski, Ed",D,2009/10,Arizona/Phoenix,2
6.5,634.146341463,8,Lower body,"Jovanovski, Ed",D,2009/10,Arizona/Phoenix,8
6.5,79.268292683,1,Upper body,"Jovanovski, Ed",D,2009/10,Arizona/Phoenix,1
1.25,137.195121951,9,Lower body,"Michalek, Zbynek",D,2009/10,Arizona/Phoenix,9
1.75,1728.658536585,81,Headache,"Sauer, Kurt",D,2009/10,Arizona/Phoenix,81
2.3,84.146341463,3,Upper body,"Vandermeer, Jim",D,2009/10,Arizona/Phoenix,3
0.85,51.829268293,5,Undisclosed,"Begin, Steve",F,2009/10,Boston,5
4.75,115.853658537,2,Groin,"Bergeron, Patrice",F,2009/10,Boston,2
4.75,347.560975610,6,Thumb,"Bergeron, Patrice",F,2009/10,Boston,6
0.688,8.390243902,1,Back,"Bitz, Byron",F,2009/10,Boston,1
0.688,25.170731707,3,Groin,"Bitz, Byron",F,2009/10,Boston,3
0.688,8.390243902,1,Illness,"Bitz, Byron",F,2009/10,Boston,1
0.688,33.560975610,4,Undisclosed,"Bitz, Byron",F,2009/10,Boston,4
3.75,91.463414634,2,Flu,"Krejci, David",F,2009/10,Boston,2
3.75,45.731707317,1,Undisclosed,"Krejci, David",F,2009/10,Boston,1
0.85,186.585365854,18,Ankle,"Lucic, Milan",F,2009/10,Boston,18
0.85,145.121951220,14,Finger,"Lucic, Milan",F,2009/10,Boston,14
0.7,8.536585366,1,Hand,"Satan, Miroslav",F,2009/10,Boston,1
0.7,17.073170732,2,Undisclosed,"Satan, Miroslav",F,2009/10,Boston,2
5,1097.560975610,18,Concussion,"Savard, Marc",F,2009/10,Boston,18
5,914.634146341,15,Foot,"Savard, Marc",F,2009/10,Boston,15
5,487.804878049,8,Knee,"Savard, Marc",F,2009/10,Boston,8
0.75,9.146341463,1,Head,"Sobotka, Vladimir",F,2009/10,Boston,1
3.5,256.097560976,6,Leg,"Sturm, Marco",F,2009/10,Boston,6
0.517,12.609756098,2,Undisclosed,"Thornton, Shawn",F,2009/10,Boston,2
