Date	Year	Team	Player	Notes
1/1/2018	2018	Blazers	Meyers Leonard	returned to lineup
1/1/2018	2018	Kings	Frank Mason	bruised right heel (DTD)
1/1/2018	2018	Rockets	James Harden	strained left hamstring (DTD)
1/2/2018	2018	Cavaliers	Isaiah Thomas	returned to lineup
1/2/2018	2018	Clippers	Austin Rivers	sore right Achilles (DTD)
1/2/2018	2018	Nuggets	Juan Hernangomez	returned to lineup
1/2/2018	2018	Nuggets	Malik Beasley	returned to lineup
1/3/2018	2018	Cavaliers	Isaiah Thomas	right hip injury (DTD)
1/3/2018	2018	Heat	James Johnson	returned to lineup
1/3/2018	2018	Pistons	Andre Drummond	bruised right rib (DTD)
1/3/2018	2018	Spurs	Tony Parker	rest (DTD)
1/3/2018	2018	Spurs	Manu Ginobili	rest (DTD)
1/4/2018	2018	Rockets	Chinanu Onuaku	virus (DTD)
1/5/2018	2018	Heat	Derrick Walton Jr.	illness (DTD)
1/5/2018	2018	Pistons	Andre Drummond	returned to lineup
1/5/2018	2018	Spurs	LaMarcus Aldridge	rest (DTD)
1/5/2018	2018	Spurs	Tony Parker	returned to lineup
1/5/2018	2018	Spurs	Manu Ginobili	returned to lineup
1/5/2018	2018	Suns	Isaiah Canaan	strained left adductor (DTD)
1/6/2018	2018	Celtics	Al Horford	sore left calf / knee injury (DTD)
1/6/2018	2018	Clippers	Milos Teodosic	sore plantar fascia in left foot (DTD)
1/6/2018	2018	Magic	Jonathon Simmons	back spasms (DTD)
1/6/2018	2018	Pistons	Andre Drummond	bruised right rib (DTD)
1/6/2018	2018	Spurs	Kawhi Leonard	partial tear in left shoulder (DTD)
1/7/2018	2018	Nets	DeMarre Carroll	sprained right knee (DTD)
1/7/2018	2018	Spurs	Tony Parker	rest (DTD)
1/7/2018	2018	Spurs	LaMarcus Aldridge	returned to lineup
1/7/2018	2018	Suns	Marquese Chriss	strained right hip flexor (DTD)
1/7/2018	2018	Heat	Derrick Walton Jr.	returned to lineup
1/8/2018	2018	Bulls	Nikola Mirotic	stomach virus (DTD)
1/8/2018	2018	Nets	Nik Stauskas	ankle injury (DTD)
1/8/2018	2018	Pistons	Andre Drummond	returned to lineup
1/8/2018	2018	Spurs	Manu Ginobili	rest (DTD)
1/8/2018	2018	Spurs	Tony Parker	returned to lineup
1/9/2018	2018	Heat	Tyler Johnson	strained left shoulder (DTD)
1/9/2018	2018	Magic	Jonathon Simmons	returned to lineup
1/10/2018	2018	Heat	Tyler Johnson	returned to lineup
1/10/2018	2018	Jazz	Derrick Favors	sprained right ankle (DTD)
1/10/2018	2018	Nets	Nik Stauskas	returned to lineup
1/10/2018	2018	Pacers	Myles Turner	right elbow injury (DTD)
1/10/2018	2018	Pelicans	Anthony Davis	sprained right ankle (DTD)
1/10/2018	2018	Rockets	Chinanu Onuaku	returned to lineup
1/10/2018	2018	Warriors	Stephen Curry	sprained right ankle (DTD)
1/11/2018	2018	76ers	Amir Johnson	gasroenteritis (DTD)
1/11/2018	2018	Celtics	Al Horford	returned to lineup
1/11/2018	2018	Clippers	C.J. Williams	sprained right ankle (DTD)
1/11/2018	2018	Clippers	Milos Teodosic	returned to lineup
1/11/2018	2018	Spurs	Tony Parker	sprained right ankle (DTD)
1/11/2018	2018	Spurs	Manu Ginobili	returned to lineup
1/11/2018	2018	Rockets	Zhou Qi	right elbow injury (DTD)
1/12/2018	2018	Blazers	Evan Turner	illness (DTD)
1/12/2018	2018	Cavaliers	Dwyane Wade	rest (DTD)
1/12/2018	2018	Cavaliers	Isaiah Thomas	rest (DTD)
1/12/2018	2018	Heat	Dion Waiters	surgery on left ankle (out indefinitely) (date approximate)
1/12/2018	2018	Jazz	Derrick Favors	returned to lineup
1/12/2018	2018	Pelicans	Anthony Davis	returned to lineup
1/12/2018	2018	Rockets	Tarik Black	eye injury (DTD)
1/12/2018	2018	Clippers	C.J. Williams	returned to lineup
1/13/2018	2018	Bulls	Nikola Mirotic	returned to lineup
1/13/2018	2018	Clippers	DeAndre Jordan	sprained left ankle (DTD)
1/13/2018	2018	Jazz	Thabo Sefolosha	surgery on right knee (out for season)
1/13/2018	2018	Nets	Tyler Zeller	sore left hip (DTD)
1/13/2018	2018	Spurs	Tony Parker	returned to lineup
1/14/2018	2018	Blazers	Evan Turner	returned to lineup
1/14/2018	2018	Heat	Justise Winslow	returned to lineup
1/15/2018	2018	76ers	Richaun Holmes	gastroenteritis (DTD)
1/15/2018	2018	76ers	Amir Johnson	returned to lineup
1/15/2018	2018	Lakers	Brandon Ingram	sprained left ankle/knee (DTD)
1/15/2018	2018	Lakers	Lonzo Ball	sprained left knee (DTD)
1/15/2018	2018	Nets	Tyler Zeller	returned to lineup
1/15/2018	2018	Rockets	Tarik Black	returned to lineup
1/15/2018	2018	Spurs	Kawhi Leonard	right quadriceps injury / rest (DTD)
1/16/2018	2018	76ers	J.J. Redick	left fibula injury (DTD)
1/16/2018	2018	Hornets	Steve Clifford	returned to team as head coach
1/16/2018	2018	Mavericks	J.J. Barea	strained left groin (DTD)
1/16/2018	2018	Spurs	Manu Ginobili	bruised right thigh (DTD)
1/17/2018	2018	Grizzlies	Marc Gasol	illness (DTD)
1/17/2018	2018	Lakers	Brandon Ingram	returned to lineup
1/17/2018	2018	Pistons	Luke Kennard	thumb injury (DTD)
1/18/2018	2018	76ers	James Young	undisclosed (DTD)
1/18/2018	2018	Bulls	Kris Dunn	concussion (out indefinitely)
1/18/2018	2018	Lakers	Kentavious Caldwell-Pope	strained right Achilles (DTD)
1/19/2018	2018	Bucks	Giannis Antetokounmpo	sore right knee (DTD)
1/19/2018	2018	Grizzlies	Marc Gasol	returned to lineup
1/19/2018	2018	Lakers	Brandon Ingram	sprained left ankle (DTD)
1/19/2018	2018	Pistons	Luke Kennard	returned to lineup
1/19/2018	2018	Warriors	Jordan Bell	left ankle injury (out indefinitely)
1/20/2018	2018	76ers	James Young	returned to lineup
1/20/2018	2018	Grizzlies	Andrew Harrison	left shoulder injury (DTD)
1/20/2018	2018	Grizzlies	Mario Chalmers	right shoulder injury (DTD)
1/20/2018	2018	Heat	Goran Dragic	bruised left knee (DTD)
1/20/2018	2018	Jazz	Rodney Hood	bruised lower leg (DTD)
1/20/2018	2018	Mavericks	J.J. Barea	returned to lineup
1/20/2018	2018	Timberwolves	Jamal Crawford	sprained left big toe (DTD)
1/20/2018	2018	Timberwolves	Jimmy Butler	sore right knee (DTD)
1/20/2018	2018	Grizzlies	James Ennis	right calf injury (DTD)
1/20/2018	2018	Rockets	Troy Williams	illness (DTD)
1/21/2018	2018	Grizzlies	JaMychal Green	right ankle injury (DTD)
1/21/2018	2018	Lakers	Brandon Ingram	returned to lineup
1/22/2018	2018	Clippers	Jawun Evans	sore lower abdominal (DTD)
1/22/2018	2018	Grizzlies	Andrew Harrison	returned to lineup
1/22/2018	2018	Grizzlies	Mario Chalmers	returned to lineup
1/22/2018	2018	Hornets	Michael Kidd-Gilchrist	right axillary abscess (DTD)
1/22/2018	2018	Spurs	Pau Gasol	sprained right wrist (DTD)
1/23/2018	2018	Kings	Zach Randolph	sore left knee (DTD)
1/23/2018	2018	Knicks	Kristaps Porzingis	irritation in left knee (DTD)
1/24/2018	2018	Celtics	Al Horford	concussion (DTD)
1/24/2018	2018	Celtics	Marcus Smart	right hand injury (DTD)
1/24/2018	2018	Clippers	Jawun Evans	sore lower abdominal (DTD)
1/24/2018	2018	Clippers	DeAndre Jordan	returned to lineup
1/24/2018	2018	Grizzlies	Jarell Martin	left knee injury (DTD)
1/24/2018	2018	Hornets	Michael Kidd-Gilchrist	returned to lineup
1/24/2018	2018	Pistons	Reggie Bullock	thumb injury (DTD)
1/24/2018	2018	Spurs	LaMarcus Aldridge	rest (DTD)
1/24/2018	2018	Spurs	Pau Gasol	returned to lineup
1/24/2018	2018	Suns	Alex Len	sore right ankle (DTD)
1/24/2018	2018	Timberwolves	Jamal Crawford	returned to lineup
1/25/2018	2018	Heat	Goran Dragic	returned to lineup
1/25/2018	2018	Kings	Zach Randolph	returned to lineup
1/25/2018	2018	Knicks	Kristaps Porzingis	returned to lineup
1/25/2018	2018	Warriors	Patrick McCaw	strained back (DTD)
1/26/2018	2018	Grizzlies	Ben McLemore	sore right knee (DTD)
1/26/2018	2018	Grizzlies	Jarell Martin	returned to lineup
1/26/2018	2018	Kings	Willie Cauley-Stein	bruised right knee (DTD)
1/26/2018	2018	Pelicans	DeMarcus Cousins	torn left Achilles tendon (out for season)
1/26/2018	2018	Spurs	LaMarcus Aldridge	returned to lineup
1/26/2018	2018	Suns	Tyson Chandler	illness (DTD)
1/26/2018	2018	Celtics	Guerschon Yabusele	ankle injury (DTD)
1/26/2018	2018	Grizzlies	Tyreke Evans	illness (DTD)
1/27/2018	2018	Celtics	Al Horford	returned to lineup
1/27/2018	2018	Grizzlies	Mike Conley Jr.	surgery on left heel to smooth bone (out for season) (date approximate)
1/27/2018	2018	Hornets	Michael Carter-Williams	strained left shoulder (DTD)
1/27/2018	2018	Mavericks	J.J. Barea	strained left oblique (DTD)
