,TEAM,POSITION,HEIGHT,WEIGHT,BIRTHDAY,PLAYER,AGE
0,TOR,C,"6'0""",176,6/07/1993,Aaltonen Miro,26
1,ANA,LW,"5'9""",170,4/30/1988,Abbott Spencer,31
2,DET,LW,"6'2""",214,2/25/1987,Abdelkader Justin,32
3,EDM,LW,"5'11""",196,9/23/1993,Aberg Pontus,25
4,CBJ,RW,"5'9""",171,5/08/1998,Abramov Vitaly,21
5,BOS,C,"5'10""",208,12/01/1991,Acciari Noel,27
6,FLA,D,"6'0""",210,11/28/1990,Acolatse Sena,28
7,MTL,LW,"6'0""",188,10/21/1996,Addison Jeremiah,22
8,BOS,LW,"6'0""",202,4/30/1992,Agostino Kenny,27
9,COL,LW,"5'10""",187,1/03/1991,Agozzino Andrew,28
10,CAR,LW,"5'11""",172,7/26/1997,Aho Sebastian,21
12,MTL,C,"6'1""",173,3/03/1997,Alain Alexandre,22
13,NYR,C,"5'11""",179,1/19/1989,Albert John,30
14,NSH,D,"6'1""",179,12/27/1997,Allard Frederic,21
15,STL,G,"6'2""",203,8/07/1990,Allen Jake,28
16,ARZ,LW,"6'3""",198,7/06/1990,Allen Scott,28
17,COL,D,"6'4""",201,10/18/1991,Alt Mark,27
18,MTL,D,"6'3""",217,9/24/1988,Alzner Karl,30
19,LA,C,"6'1""",204,5/13/1996,Amadio Michael,23
20,MIN,C,"5'8""",154,6/01/1993,Anas Sam,26
21,TOR,G,"6'4""",230,10/02/1989,Andersen Frederik,29
22,OTT,G,"6'2""",185,5/21/1981,Anderson Craig,38
23,NJ,RW,"5'11""",190,6/19/1998,Anderson Joey,21
24,CBJ,RW,"6'3""",221,5/07/1994,Anderson Josh,25
