,0,1,2,3,4,5
0,"Aaltonen, Miro
Aaltonen, Miro",TOR,C,"6'0""",176,6/07/1993
1,"Abbott, Spencer
Abbott, Spencer",ANA,LW,"5'9""",170,4/30/1988
2,"Abdelkader, Justin
Abdelkader, Justin",DET,LW,"6'2""",214,2/25/1987
3,"Aberg, Pontus
Aberg, Pontus",EDM,LW,"5'11""",196,9/23/1993
4,"Abramov, Vitaly
Abramov, Vitaly",CBJ,RW,"5'9""",171,5/08/1998
5,"Acciari, Noel
Acciari, Noel",BOS,C,"5'10""",208,12/01/1991
6,"Acolatse, Sena
Acolatse, Sena",FLA,D,"6'0""",210,11/28/1990
7,"Addison, Jeremiah
Addison, Jeremiah",MTL,LW,"6'0""",188,10/21/1996
8,"Agostino, Kenny
Agostino, Kenny",BOS,LW,"6'0""",202,4/30/1992
9,"Agozzino, Andrew
Agozzino, Andrew",COL,LW,"5'10""",187,1/03/1991
10,"Aho, Sebastian
Aho, Sebastian",CAR,LW,"5'11""",172,7/26/1997
11,"Aho, Sebastian
Aho, Sebastian",NYI,D,"5'10""",170,2/17/1996
12,"Alain, Alexandre
Alain, Alexandre",MTL,C,"6'1""",173,3/03/1997
13,"Albert, John
Albert, John",NYR,C,"5'11""",179,1/19/1989
14,"Allard, Frederic
Allard, Frederic",NSH,D,"6'1""",179,12/27/1997
15,"Allen, Jake
Allen, Jake",STL,G,"6'2""",203,8/07/1990
16,"Allen, Scott
Allen, Scott",ARZ,LW,"6'3""",198,7/06/1990
17,"Alt, Mark
Alt, Mark",COL,D,"6'4""",201,10/18/1991
18,"Alzner, Karl
Alzner, Karl",MTL,D,"6'3""",217,9/24/1988
19,"Amadio, Michael
Amadio, Michael",LA,C,"6'1""",204,5/13/1996
20,"Anas, Sam
Anas, Sam",MIN,C,"5'8""",154,6/01/1993
21,"Andersen, Frederik
Andersen, Frederik",TOR,G,"6'4""",230,10/02/1989
22,"Anderson, Craig
Anderson, Craig",OTT,G,"6'2""",185,5/21/1981
23,"Anderson, Joey
Anderson, Joey",NJ,RW,"5'11""",190,6/19/1998
24,"Anderson, Josh
Anderson, Josh",CBJ,RW,"6'3""",221,5/07/1994
