,PLAYER,TEAM,GP,G,A,PTS,+/-,TOI/G,SHFT,SHFT/G,PROD,POS
1,Doughty Drew,LA,82,10,50,60,23,26:50,2511,30.6,36:40, D
2,Suter Ryan,MIN,78,6,45,51,-1,26:47,2108,27.0,40:57, D
3,Karlsson Erik,OTT,71,9,53,62,-25,26:44,2161,30.4,30:37, D
4,Ristolainen Rasmus,BUF,73,6,35,41,-25,26:30,2115,29.0,47:10, D
5,Hedman Victor,TB,77,17,46,63,32,25:51,2117,27.5,31:35, D
6,Pietrangelo Alex,STL,78,15,39,54,8,25:44,2179,27.9,37:10, D
7,Johnson Erik,COL,62,9,16,25,3,25:26,1901,30.7,63:04, D
8,Weber Shea,MTL,26,6,10,16,-8,25:21,796,30.6,41:11, D
9,Letang Kris,PIT,79,9,42,51,-9,25:20,2350,29.7,39:14, D
10,Burns Brent,SJ,82,12,55,67,-16,25:15,2275,27.7,30:53, D
12,Fowler Cam,ANA,67,8,24,32,3,24:51,1735,25.9,52:02, D
13,Giordano Mark,CGY,82,13,25,38,0,24:47,2301,28.1,53:29, D
14,Carlson John,WSH,82,15,53,68,0,24:47,2164,26.4,29:53, D
15,Jones Seth,CBJ,78,16,41,57,10,24:36,2256,28.9,33:39, D
16,Spurgeon Jared,MIN,61,9,28,37,-6,24:33,1639,26.9,40:28, D
17,Yandle Keith,FLA,82,8,48,56,7,24:29,2410,29.4,35:51, D
18,Josi Roman,NSH,75,14,39,53,24,24:28,2152,28.7,34:37, D
19,Byfuglien Dustin,WPG,69,8,37,45,15,24:20,1728,25.0,37:19, D
20,Edler Alexander,VAN,70,6,28,34,-18,24:17,1973,28.2,49:59, D
21,Provorov Ivan,PHI,82,17,24,41,17,24:09,2372,28.9,48:18, D
23,Subban P.K.,NSH,82,16,43,59,18,24:07,2323,28.3,33:30, D
24,Klingberg John,DAL,82,8,59,67,10,24:04,2272,27.7,29:27, D
25,Keith Duncan,CHI,82,2,30,32,-29,23:50,2419,29.5,61:03, D
26,Dumba Matt,MIN,82,14,36,50,15,23:49,2112,25.8,39:03, D
27,Ekman-Larsson Oliver,ARI,82,14,28,42,-28,23:41,2398,29.2,46:14, D
28,Brodie T.J.,CGY,73,4,28,32,-16,23:41,1991,27.3,54:01, D
29,Ekholm Mattias,NSH,81,10,24,34,25,23:35,2306,28.5,56:10, D
30,Petry Jeff,MTL,82,12,30,42,-30,23:30,2356,28.7,45:52, D
31,Ekblad Aaron,FLA,82,16,22,38,9,23:23,2376,29.0,50:28, D
32,Ellis Ryan,NSH,44,9,23,32,26,23:21,1229,27.9,32:06, D
34,Ceci Cody,OTT,82,5,14,19,-27,23:20,2442,29.8,100:43, D
35,McDonagh Ryan,NYR/TB,63,4,25,29,8,23:20,1831,29.1,50:40, D
36,Scandella Marco,BUF,82,5,17,22,-15,23:19,2332,28.4,86:54, D
37,Goligoski Alex,ARI,78,12,23,35,-31,23:17,2225,28.5,51:52, D
38,Orlov Dmitry,WSH,82,10,21,31,10,23:08,2093,25.5,61:10, D
39,Chara Zdeno,BOS,73,7,17,24,22,22:54,1804,24.7,69:39, D
40,Martinez Alec,LA,77,9,16,25,3,22:52,2182,28.3,70:25, D
41,Klefbom Oscar,EDM,66,5,16,21,-12,22:51,1824,27.6,71:48, D
42,Lindholm Hampus,ANA,69,13,18,31,16,22:44,1795,26.0,50:36, D
43,Barrie Tyson,COL,68,14,43,57,-15,22:42,1774,26.1,27:04, D
