,Player,Team,Position,Height,Weight,Birthdate
0,,FA,-,-,-,-
1,"Abdelkader, Justin  Abdelkader, Justin",DET,LW,"6'2""",214,2/25/1987
2,"Aberg, Pontus  Aberg, Pontus",MIN,LW,"5'11""",196,9/23/1993
3,"Abramov, Vitaly  Abramov, Vitaly",OTT,RW,"5'9""",171,5/08/1998
4,"Acciari, Noel  Acciari, Noel",BOS,C,"5'10""",205,12/01/1991
5,"Addison, Calen  Addison, Calen",FA,-,-,-,4/11/2000
6,"Agostino, Kenny  Agostino, Kenny",NJ,LW,"6'0""",199,4/30/1992
7,"Agozzino, Andrew  Agozzino, Andrew",COL,LW,"5'10""",187,1/03/1991
8,"Aho, Sebastian  Aho, Sebastian",CAR,C,"6'0""",176,7/26/1997
9,"Aho, Sebastian  Aho, Sebastian",FA,-,-,-,2/17/1996
10,"Alexeyev, Alexander  Alexeyev, Alexander",FA,-,-,-,11/15/1999
11,"Allard, Frederic  Allard, Frederic",NSH,D,"6'1""",179,12/27/1997
12,"Allen, Jake  Allen, Jake",STL,G,"6'2""",203,8/07/1990
13,"Alt, Mark  Alt, Mark",COL,D,"6'4""",201,10/18/1991
14,"Alt, Mark  Alt, Mark",COL,D,"6'4""",201,10/18/1991
15,"Alzner, Karl  Alzner, Karl",MTL,D,"6'3""",219,9/24/1988
16,"Amadio, Michael  Amadio, Michael",LA,C,"6'1""",205,5/13/1996
17,"Amorosa, Terrance  Amorosa, Terrance",ANA,D,"6'2""",205,11/13/1994
18,"Anas, Sam  Anas, Sam",FA,-,-,-,6/01/1993
19,"Andersen, Frederik  Andersen, Frederik",TOR,G,"6'4""",230,10/02/1989
20,"Anderson, Craig  Anderson, Craig",OTT,G,"6'2""",185,5/21/1981
21,"Anderson, Joey  Anderson, Joey",NJ,RW,"5'11""",190,6/19/1998
22,"Anderson, Joey  Anderson, Joey",NJ,-,-,-,-
23,"Anderson, Josh  Anderson, Josh",CBJ,RW,"6'3""",221,5/07/1994
24,"Anderson, Josh  Anderson, Josh",FA,-,-,-,8/29/1998
25,"Anderson-Dolan, Jaret  Anderson-Dolan, Jaret",LA,C,"5'11""",191,9/12/1999
26,"Andersson, Axel  Andersson, Axel",FA,-,-,-,2/10/2000
27,"Andersson, Lias  Andersson, Lias",NYR,C,"5'11""",198,10/13/1998
28,"Andersson, Rasmus  Andersson, Rasmus",CGY,D,"6'1""",214,10/27/1996
29,"Andreoff, Andy  Andreoff, Andy",TB,LW,"6'1""",203,5/17/1991
30,"Andrighetto, Sven  Andrighetto, Sven",COL,RW,"5'10""",188,3/21/1993
31,"Ang, Jonathan  Ang, Jonathan",FA,-,-,-,1/31/1998
32,"Angello, Anthony  Angello, Anthony",PIT,C,"6'5""",210,3/06/1996
33,"Anisimov, Artem  Anisimov, Artem",CHI,C,"6'4""",198,5/24/1988
34,"Antipin, Victor  Antipin, Victor",BUF,D,"5'11""",175,12/06/1992
35,"Appleton, Mason  Appleton, Mason",WPG,C,"6'2""",193,1/15/1996
36,"Archambault, Oliver  Archambault, Oliver",TB,LW,"5'11""",176,2/16/1993
37,"Archibald, Darren  Archibald, Darren",OTT,RW,"6'3""",212,2/09/1990
38,"Archibald, Josh  Archibald, Josh",ARI,RW,"5'10""",176,10/06/1992
39,"Armia, Joel  Armia, Joel",MTL,RW,"6'4""",210,5/31/1993
40,"Arvidsson, Viktor  Arvidsson, Viktor",NSH,RW,"5'9""",180,4/08/1993
41,"Aspirot, Jonathan  Aspirot, Jonathan",FA,-,-,-,5/16/1999
42,"Asplund, Rasmus  Asplund, Rasmus",FA,-,-,-,12/03/1997
43,"Aston-Reese, Zachary  Aston-Reese, Zachary",PIT,C,"6'0""",204,8/10/1994
44,"Athanasiou, Andreas  Athanasiou, Andreas",DET,C,"6'2""",177,8/06/1994
45,"Atkinson, Cam  Atkinson, Cam",CBJ,RW,"5'8""",179,6/05/1989
