,PLAYER,GP,G,A,PTS,+/-,TOI/G,SHFT,SHFT/G,POSITION,HEIGHT,WEIGHT,AGE,INJURY COUNT,GAMES MISSED,INJURY TYPE,TEAM
0,Abdelkader Justin,71,6,13,19,-14,15:24,1465,20.6,LW,"6'2""",214,32,1,11,Leg,Detroit
1,Aberg Pontus,59,12,13,25,-14,14:36,1107,18.8,LW,"5'11""",196,25,1,8,Lower body,Minnesota
2,Anderson Joey,34,4,3,7,-7,12:54,582,17.1,RW,"5'11""",190,21,1,33,Ankle,New Jersey
3,Andrighetto Sven,64,7,10,17,10,11:04,930,14.5,RW,"5'10""",188,26,1,6,Lower body,Colorado
4,Anisimov Artem,78,15,22,37,-2,16:21,1611,20.7,C,"6'4""",198,31,1,4,Concussion,Chicago
5,Archibald Josh,68,12,10,22,1,13:34,1397,20.5,RW,"5'10""",176,26,1,4,Upper body,Arizona/Phoenix
6,Armia Joel,57,13,10,23,0,15:48,1213,21.3,RW,"6'4""",210,26,1,25,Knee,Montreal
7,Arvidsson Viktor,58,34,14,48,12,19:09,1388,23.9,RW,"5'9""",180,26,2,3,Lower body,Nashville
8,Arvidsson Viktor,58,34,14,48,12,19:09,1388,23.9,RW,"5'9""",180,26,2,21,Thumb,Nashville
9,Athanasiou Andreas,76,30,24,54,-9,16:58,1677,22.1,C,"6'2""",177,24,1,2,Upper body,Detroit
10,Atkinson Cam,80,41,28,69,3,19:23,1951,24.4,RW,"5'8""",179,30,1,1,Facial,Columbus
11,Backes David,70,7,13,20,0,13:02,1175,16.8,RW,"6'3""",215,35,1,5,Upper body,Boston
12,Backlund Mikael,77,21,26,47,34,17:54,1786,23.2,C,"6'0""",200,30,1,4,Concussion,Calgary
13,Baertschi Sven,26,9,5,14,-9,15:08,520,20,LW,"5'11""",190,26,2,23,Concussion,Vancouver
14,Baertschi Sven,26,9,5,14,-9,15:08,520,20,LW,"5'11""",190,26,2,30,Concussion,Vancouver
15,Barberio Mark,12,1,0,1,-6,15:14,232,19.3,D,"6'1""",200,29,2,8,Head,Colorado
16,Barberio Mark,12,1,0,1,-6,15:14,232,19.3,D,"6'1""",200,29,2,19,Upper body,Colorado
17,Barrie Tyson,78,14,45,59,-3,21:47,1850,23.7,D,"5'10""",190,27,1,4,Lower body,Colorado
18,Bastian Nathan,7,3,0,3,0,12:41,119,17,RW,"6'4""",207,21,1,14,Upper body,New Jersey
19,Beagle Jay,57,3,10,13,-8,13:39,1239,21.7,C,"6'3""",210,33,1,24,Arm,Vancouver
20,Beaulieu Nathan,48,3,9,12,6,15:30,929,19.4,D,"6'2""",200,26,1,4,Upper body,Buffalo
21,Benn Jamie,78,27,26,53,14,18:14,1968,25.2,LW,"6'2""",205,29,2,1,Upper body,Dallas
22,Benn Jamie,78,27,26,53,14,18:14,1968,25.2,LW,"6'2""",205,29,2,2,Upper body,Dallas
23,Bennett Sam,71,13,14,27,-6,13:17,1276,18,C,"6'1""",195,23,2,2,Upper body,Calgary
24,Bennett Sam,71,13,14,27,-6,13:17,1276,18,C,"6'1""",195,23,2,5,Upper body,Calgary
25,Bergeron Patrice,65,32,47,79,23,18:28,1510,23.2,C,"6'1""",195,33,1,16,Sternoclavicular,Boston
26,Berglund Patrik,23,2,2,4,-5,13:03,412,17.9,LW,"6'4""",219,31,1,5,Upper body,Buffalo
27,Bertuzzi Tyler,73,21,26,47,11,16:31,1547,21.2,LW,"6'0""",190,24,1,7,Upper body,Detroit
28,Bishop Clark,20,1,2,3,-3,9:27,269,13.5,C,"6'1""",199,23,1,8,Lower body,Carolina
29,Bjugstad Nick,64,14,12,26,6,15:07,1340,20.9,C,"6'6""",215,26,1,16,Upper body,Florida
30,Blais Sammy,32,2,2,4,-1,9:51,429,13.4,LW,"6'2""",205,23,1,13,Lower body,St. Louis
31,Boedker Mikkel,71,7,28,35,-23,14:01,1277,18,LW,"6'0""",210,29,1,7,Mid-body,Ottawa
32,Boeser Brock,69,26,30,56,-2,19:10,1621,23.5,RW,"6'1""",208,22,2,2,Groin,Vancouver
33,Boeser Brock,69,26,30,56,-2,19:10,1621,23.5,RW,"6'1""",208,22,2,11,Groin,Vancouver
34,Bogosian Zach,65,3,16,19,-5,21:38,1574,24.2,D,"6'3""",221,28,5,1,Lower body,Buffalo
35,Bogosian Zach,65,3,16,19,-5,21:38,1574,24.2,D,"6'3""",221,28,5,2,Lower body,Buffalo
36,Bogosian Zach,65,3,16,19,-5,21:38,1574,24.2,D,"6'3""",221,28,5,5,Lower body,Buffalo
37,Bogosian Zach,65,3,16,19,-5,21:38,1574,24.2,D,"6'3""",221,28,5,8,Lower body,Buffalo
38,Bogosian Zach,65,3,16,19,-5,21:38,1574,24.2,D,"6'3""",221,28,5,1,Upper body,Buffalo
39,Borowiecki Mark,53,1,4,5,-12,15:34,1214,22.9,D,"6'1""",207,29,5,6,Foot,Ottawa
40,Borowiecki Mark,53,1,4,5,-12,15:34,1214,22.9,D,"6'1""",207,29,5,12,Hand,Ottawa
41,Borowiecki Mark,53,1,4,5,-12,15:34,1214,22.9,D,"6'1""",207,29,5,1,Lower body,Ottawa
42,Borowiecki Mark,53,1,4,5,-12,15:34,1214,22.9,D,"6'1""",207,29,5,1,Upper body,Ottawa
43,Borowiecki Mark,53,1,4,5,-12,15:34,1214,22.9,D,"6'1""",207,29,5,4,Upper body,Ottawa
44,Bortuzzo Robert,59,2,8,10,9,15:28,1323,22.4,D,"6'4""",216,30,2,1,Lower body,St. Louis
45,Bortuzzo Robert,59,2,8,10,9,15:28,1323,22.4,D,"6'4""",216,30,2,16,Lower body,St. Louis
46,Bouwmeester Jay,78,3,14,17,-3,20:44,2077,26.6,D,"6'4""",206,35,1,3,Hip,St. Louis
47,Boychuk Johnny,74,3,16,19,10,18:50,1864,25.2,D,"6'2""",227,35,1,2,Concussion,NY Islanders
