,PLAYER,INJURY COUNT,CAP HIT,CHIP,GAMES MISSED,INJURY TYPE,POSITION,SEASON,TEAM
0,Abdelkader Justin,2,4.25,51.829268293,1,Cheek,F,2017/18,Detroit
1,Abdelkader Justin,2,4.25,310.975609756,6,Lower body,F,2017/18,Detroit
2,Acciari Noel,3,0.725,114.93902439,13,Finger,F,2017/18,Boston
3,Acciari Noel,3,0.725,61.890243901999995,7,Lower body,F,2017/18,Boston
4,Acciari Noel,3,0.725,8.841463415,1,Upper body,F,2017/18,Boston
5,Aho Sebastian,1,1.775,86.585365854,4,Concussion,F,2017/18,Carolina
6,Andersen Frederik,1,5.0,121.95121951200001,2,Upper body,G,2017/18,Toronto
7,Anderson Josh,1,1.85,383.536585366,17,Knee,F,2017/18,Columbus
8,Andreoff Andy,1,0.6775,41.31097561,5,Upper body,F,2017/18,Los Angeles
9,Andrighetto Sven,2,1.4,478.04878048800003,28,Leg,F,2017/18,Colorado
10,Andrighetto Sven,2,1.4,51.219512195,3,Lower body,F,2017/18,Colorado
11,Anisimov Artem,1,4.55,554.87804878,10,Upper body,F,2017/18,Chicago
12,Antipin Victor,1,1.775,86.585365854,4,Concussion,D,2017/18,Buffalo
13,Arvidsson Viktor,2,4.25,51.829268293,1,Lower body,F,2017/18,Nashville
14,Arvidsson Viktor,2,4.25,103.658536585,2,Lower body,F,2017/18,Nashville
15,Aston-Reese Zach,1,0.925,146.646341463,13,Upper body,F,2017/18,Pittsburgh
16,Atkinson Cam,2,3.5,469.512195122,11,Foot,F,2017/18,Columbus
17,Atkinson Cam,2,3.5,170.731707317,4,Lower body,F,2017/18,Columbus
18,Auvitu Yohann,1,0.7,17.073170732,2,Foot,D,2017/18,Edmonton
19,Backes David,2,6.0,878.048780488,12,Colon,F,2017/18,Boston
20,Backes David,2,6.0,365.85365853699994,5,Knee,F,2017/18,Boston
21,Baertschi Sven,2,1.85,248.17073170700002,11,Jaw,F,2017/18,Vancouver
22,Baertschi Sven,2,1.85,383.536585366,17,Shoulder,F,2017/18,Vancouver
23,Bailey Josh,2,3.3,160.975609756,4,Lower body,F,2017/18,NY Islanders
24,Bailey Josh,2,3.3,80.487804878,2,Upper body,F,2017/18,NY Islanders
25,Bailey Justin,1,0.894167,54.522378049,5,Lower body,F,2017/18,Buffalo
26,Barberio Mark,1,0.75,301.829268293,33,Lower body,D,2017/18,Colorado
27,Barkov Aleksander,2,5.9,71.951219512,1,Upper body,F,2017/18,Florida
28,Barkov Aleksander,2,5.9,143.902439024,2,Upper body,F,2017/18,Florida
29,Barrie Tyson,2,5.5,871.951219512,13,Hand,D,2017/18,Colorado
30,Barrie Tyson,2,5.5,67.073170732,1,Upper body,D,2017/18,Colorado
31,Beagle Jay,1,1.75,64.024390244,3,Upper body,F,2017/18,Washington
32,Beaulieu Nathan,2,2.4,117.07317073200001,4,Upper body,D,2017/18,Buffalo
33,Beaulieu Nathan,2,2.4,204.87804878,7,Upper body,D,2017/18,Buffalo
34,Beauvillier Anthony,1,1.106667,13.495939024,1,Leg,F,2017/18,NY Islanders
35,Bellemare Pierre-Edouard,1,1.45,123.780487805,7,Hand,F,2017/18,Vegas
36,Benning Matt,1,1.075,26.219512195,2,Upper body,D,2017/18,Edmonton
37,Bergeron Patrice,2,6.875,1089.93902439,13,Foot,F,2017/18,Boston
38,Bergeron Patrice,2,6.875,419.207317073,5,Lower body,F,2017/18,Boston
39,Berglund Patrik,1,3.85,1126.829268293,24,Shoulder,F,2017/18,St. Louis
40,Bernier Jonathan,3,2.75,268.292682927,8,Concussion,G,2017/18,Colorado
41,Bernier Jonathan,3,2.75,100.60975609799999,3,Infection,G,2017/18,Colorado
42,Bernier Jonathan,3,2.75,167.682926829,5,Neck,G,2017/18,Colorado
