,CAP HIT,CHIP,GAMES MISSED,INJURY TYPE,PLAYER,POSITION,SEASON,TEAM
7060,0.68,33.170731707,4,Upper body,Blandisi Joseph,F,2017/18,Anaheim
7061,0.9,164.634146341,15,Lower body,Boll Jared,F,2017/18,Anaheim
7063,3.15,115.243902439,3,Lower body,Eaves Patrick,F,2017/18,Anaheim
7064,8.25,1911.585365854,19,Facial,Getzlaf Ryan,F,2017/18,Anaheim
7066,8.25,201.219512195,2,Lower body,Getzlaf Ryan,F,2017/18,Anaheim
7067,8.25,301.829268293,3,Lower body,Getzlaf Ryan,F,2017/18,Anaheim
7068,0.706667,86.178902439,10,Concussion,Kase Ondrej,F,2017/18,Anaheim
7070,0.706667,25.853670731999998,3,Head,Kase Ondrej,F,2017/18,Anaheim
7071,6.875,3102.134146341,37,Hip,Kesler Ryan,F,2017/18,Anaheim
7072,6.875,83.841463415,1,Lower body,Kesler Ryan,F,2017/18,Anaheim
7074,8.625,1157.0121951219999,11,Leg,Perry Corey,F,2017/18,Anaheim
7075,3.789444,231.063658537,5,Upper body,Rakell Rickard,F,2017/18,Anaheim
7076,1.6275,59.542682927,3,Lower body,Ritchie Nick,F,2017/18,Anaheim
7077,1.6275,59.542682927,3,Upper body,Ritchie Nick,F,2017/18,Anaheim
7080,4.0,195.12195122,4,Hand,Bieksa Kevin,D,2017/18,Anaheim
7081,4.0,536.585365854,11,Hand,Bieksa Kevin,D,2017/18,Anaheim
7082,4.0,585.365853659,12,Lower body,Fowler Cam,D,2017/18,Anaheim
7083,4.0,146.341463415,3,Shoulder,Fowler Cam,D,2017/18,Anaheim
7084,5.205556,444.376731707,7,Shoulder,Lindholm Hampus,D,2017/18,Anaheim
7086,5.205556,317.41195122,5,Upper body,Lindholm Hampus,D,2017/18,Anaheim
7087,0.825,20.12195122,2,Upper body,Manson Josh,D,2017/18,Anaheim
7088,0.925,11.280487805,1,Elbow,Montour Brandon,D,2017/18,Anaheim
7089,4.875,535.06097561,9,Shoulder,Vatanen Sami,D,2017/18,Anaheim
7090,2.3,28.048780488000002,1,Concussion,Gibson John,G,2017/18,Anaheim
7091,2.3,84.146341463,3,Lower body,Gibson John,G,2017/18,Anaheim
7092,2.3,112.195121951,4,Lower body,Gibson John,G,2017/18,Anaheim
7093,2.3,84.146341463,3,Upper body,Gibson John,G,2017/18,Anaheim
7094,2.0,121.95121951200001,5,Lower body,Miller Ryan,G,2017/18,Anaheim
7095,2.0,219.512195122,9,Upper body,Miller Ryan,G,2017/18,Anaheim
7096,0.894167,163.567134146,15,Lower body,Dauphin Laurent,F,2017/18,Arizona/Phoenix
7097,1.106667,53.983756098,4,Lower body,Dvorak Christian,F,2017/18,Arizona/Phoenix
7098,1.075833,13.119914634,1,Lower body,Fischer Christian,F,2017/18,Arizona/Phoenix
7099,1.8,21.951219511999998,1,Lower body,Martinook Jordan,F,2017/18,Arizona/Phoenix
7100,2.8,68.292682927,2,Lower body,Panik Richard,F,2017/18,Arizona/Phoenix
7101,1.363333,99.756073171,6,Upper body,Perlini Brendan,F,2017/18,Arizona/Phoenix
7102,2.083333,50.813,2,Lower body,Richardson Brad,F,2017/18,Arizona/Phoenix
7103,2.083333,101.626,4,Upper body,Richardson Brad,F,2017/18,Arizona/Phoenix
7105,0.7,59.756097561000004,7,Upper body,Rinaldo Zac,F,2017/18,Arizona/Phoenix
7106,5.5,5500.0,82,Lower body,Bolland Dave,"F ""retired""",2017/18,Arizona/Phoenix
7108,1.35,477.43902439,29,Knee,Chychrun Jakob,D,2017/18,Arizona/Phoenix
7109,1.35,32.926829268,2,Lower body,Chychrun Jakob,D,2017/18,Arizona/Phoenix
7110,1.0,24.390243901999998,2,Lower body,Connauton Kevin,D,2017/18,Arizona/Phoenix
7112,3.9375,144.054878049,3,Upper body,Demers Jason,D,2017/18,Arizona/Phoenix
7113,3.9375,480.182926829,10,Upper body,Demers Jason,D,2017/18,Arizona/Phoenix
7115,4.1,400.0,8,Lower body,Hjalmarsson Niklas,D,2017/18,Arizona/Phoenix
7116,4.1,500.0,10,Upper body,Hjalmarsson Niklas,D,2017/18,Arizona/Phoenix
7117,4.1,800.0,16,Upper body,Hjalmarsson Niklas,D,2017/18,Arizona/Phoenix
7118,1.0,60.975609756000004,5,Lower body,Raanta Antti,G,2017/18,Arizona/Phoenix
7119,1.0,109.756097561,9,Lower body,Raanta Antti,G,2017/18,Arizona/Phoenix
7120,1.0,12.195121950999999,1,Upper body,Raanta Antti,G,2017/18,Arizona/Phoenix
7121,1.0,73.170731707,6,Upper body,Raanta Antti,G,2017/18,Arizona/Phoenix
7122,0.725,114.93902439,13,Finger,Acciari Noel,F,2017/18,Boston
7123,0.725,61.890243901999995,7,Lower body,Acciari Noel,F,2017/18,Boston
7124,0.725,8.841463415,1,Upper body,Acciari Noel,F,2017/18,Boston
7125,6.0,878.048780488,12,Colon,Backes David,F,2017/18,Boston
7127,6.0,365.85365853699994,5,Knee,Backes David,F,2017/18,Boston
7128,6.875,1089.93902439,13,Foot,Bergeron Patrice,F,2017/18,Boston
7129,6.875,419.207317073,5,Lower body,Bergeron Patrice,F,2017/18,Boston
7130,1.066667,442.276560976,34,Shoulder,Bjork Anders,F,2017/18,Boston
7132,0.925,180.487804878,16,Leg,Cehlarik Peter,F,2017/18,Boston
7134,1.288333,47.134134146,3,Upper body,DeBrusk Jake,F,2017/18,Boston
7135,1.288333,125.69102439,8,Upper body,DeBrusk Jake,F,2017/18,Boston
7136,7.25,972.56097561,11,Back,Krejci David,F,2017/18,Boston
7137,7.25,88.414634146,1,Upper body,Krejci David,F,2017/18,Boston
7138,7.25,530.487804878,6,Upper body,Krejci David,F,2017/18,Boston
7139,0.925,78.963414634,7,Upper body,Kuraly Sean,F,2017/18,Boston
7141,6.125,74.695121951,1,Upper body,Marchand Brad,F,2017/18,Boston
7142,6.125,149.390243902,2,Upper body,Marchand Brad,F,2017/18,Boston
7143,3.9,570.731707317,12,Upper body,Nash Rick,F,2017/18,Boston
7144,0.9,54.87804878,5,Head,Nash Riley,F,2017/18,Boston
7146,2.825,34.451219512,1,Groin,Spooner Ryan,F,2017/18,Boston
7147,2.825,482.317073171,14,Groin,Spooner Ryan,F,2017/18,Boston
7149,2.825,137.804878049,4,Lower body,Spooner Ryan,F,2017/18,Boston
7150,0.925,78.963414634,7,Lower body,Vatrano Frank,F,2017/18,Boston
7151,0.75,18.292682927,2,Hand,Wingels Tommy,F,2017/18,Boston
