,POSITION,HEIGHT,WEIGHT,PLAYER,AGE,INJURY COUNT,GAMES MISSED,INJURY TYPE,TEAM
0,LW,"6'2""",214,Abdelkader Justin,32,1,11,Leg,Detroit
1,LW,"5'11""",196,Aberg Pontus,25,1,8,Lower body,Minnesota
2,G,"6'4""",230,Andersen Frederik,29,2,6,Groin,Toronto
3,G,"6'4""",230,Andersen Frederik,29,2,1,Knee,Toronto
4,G,"6'2""",185,Anderson Craig,38,2,11,Concussion,Ottawa
5,G,"6'2""",185,Anderson Craig,38,2,3,Eye,Ottawa
6,RW,"5'11""",190,Anderson Joey,21,1,33,Ankle,New Jersey
7,RW,"5'10""",188,Andrighetto Sven,26,1,6,Lower body,Colorado
8,C,"6'4""",198,Anisimov Artem,31,1,4,Concussion,Chicago
9,RW,"5'10""",176,Archibald Josh,26,1,4,Upper body,Arizona/Phoenix
10,RW,"6'4""",210,Armia Joel,26,1,25,Knee,Montreal
11,RW,"5'9""",180,Arvidsson Viktor,26,2,3,Lower body,Nashville
12,RW,"5'9""",180,Arvidsson Viktor,26,2,21,Thumb,Nashville
13,C,"6'2""",177,Athanasiou Andreas,24,1,2,Upper body,Detroit
14,RW,"5'8""",179,Atkinson Cam,30,1,1,Facial,Columbus
15,RW,"6'3""",215,Backes David,35,1,5,Upper body,Boston
16,C,"6'0""",200,Backlund Mikael,30,1,4,Concussion,Calgary
17,LW,"5'11""",190,Baertschi Sven,26,2,23,Concussion,Vancouver
18,LW,"5'11""",190,Baertschi Sven,26,2,30,Concussion,Vancouver
19,D,"6'1""",200,Barberio Mark,29,2,8,Head,Colorado
20,D,"6'1""",200,Barberio Mark,29,2,19,Upper body,Colorado
21,D,"5'10""",190,Barrie Tyson,27,1,4,Lower body,Colorado
22,RW,"6'4""",207,Bastian Nathan,21,1,14,Upper body,New Jersey
23,C,"6'3""",210,Beagle Jay,33,1,24,Arm,Vancouver
24,D,"6'2""",200,Beaulieu Nathan,26,1,4,Upper body,Buffalo
25,LW,"6'2""",205,Benn Jamie,29,2,1,Upper body,Dallas
26,LW,"6'2""",205,Benn Jamie,29,2,2,Upper body,Dallas
27,C,"6'1""",195,Bennett Sam,23,2,2,Upper body,Calgary
28,C,"6'1""",195,Bennett Sam,23,2,5,Upper body,Calgary
29,D,"6'1""",203,Benning Matt,25,1,4,Upper body,Edmonton
30,C,"6'1""",195,Bergeron Patrice,33,1,16,Sternoclavicular,Boston
31,LW,"6'4""",219,Berglund Patrik,31,1,5,Upper body,Buffalo
32,G,"6'0""",184,Bernier Jonathan,30,1,4,Upper body,Detroit
33,LW,"6'0""",190,Bertuzzi Tyler,24,1,7,Upper body,Detroit
34,G,"6'7""",215,Bishop Ben,32,4,2,Lower body,Dallas
35,G,"6'7""",215,Bishop Ben,32,4,4,Lower body,Dallas
36,G,"6'7""",215,Bishop Ben,32,4,5,Lower body,Dallas
37,G,"6'7""",215,Bishop Ben,32,4,6,Upper body,Dallas
38,C,"6'1""",199,Bishop Clark,23,1,8,Lower body,Carolina
39,C,"6'6""",215,Bjugstad Nick,26,1,16,Upper body,Florida
40,G,"6'4""",225,Blackwood Mackenzie,22,1,3,Lower body,New Jersey
41,LW,"6'2""",205,Blais Sammy,23,1,13,Lower body,St. Louis
42,G,"6'2""",182,Bobrovsky Sergei,30,1,1,Upper body,Columbus
43,LW,"6'0""",210,Boedker Mikkel,29,1,7,Mid-body,Ottawa
44,RW,"6'1""",208,Boeser Brock,22,2,2,Groin,Vancouver
45,RW,"6'1""",208,Boeser Brock,22,2,11,Groin,Vancouver
46,D,"6'3""",221,Bogosian Zach,28,5,1,Lower body,Buffalo
47,D,"6'3""",221,Bogosian Zach,28,5,2,Lower body,Buffalo
48,D,"6'3""",221,Bogosian Zach,28,5,5,Lower body,Buffalo
49,D,"6'3""",221,Bogosian Zach,28,5,8,Lower body,Buffalo
50,D,"6'3""",221,Bogosian Zach,28,5,1,Upper body,Buffalo
51,D,"6'1""",207,Borowiecki Mark,29,5,6,Foot,Ottawa
52,D,"6'1""",207,Borowiecki Mark,29,5,12,Hand,Ottawa
53,D,"6'1""",207,Borowiecki Mark,29,5,1,Lower body,Ottawa
54,D,"6'1""",207,Borowiecki Mark,29,5,1,Upper body,Ottawa
55,D,"6'1""",207,Borowiecki Mark,29,5,4,Upper body,Ottawa
56,D,"6'4""",216,Bortuzzo Robert,30,2,1,Lower body,St. Louis
57,D,"6'4""",216,Bortuzzo Robert,30,2,16,Lower body,St. Louis
58,D,"6'4""",206,Bouwmeester Jay,35,1,3,Hip,St. Louis
59,D,"6'2""",227,Boychuk Johnny,35,1,2,Concussion,NY Islanders
60,C,"5'11""",185,Boyd Travis,25,1,12,Lower body,Washington
61,C,"6'6""",245,Boyle Brian,34,2,1,Lower body,Nashville
62,C,"6'6""",245,Boyle Brian,34,2,5,Upper body,New Jersey
63,C,"6'1""",199,Bozak Tyler,33,1,9,Concussion,St. Louis
64,C,"6'1""",202,Brassard Derick,31,3,1,Upper body,Florida
65,C,"6'1""",202,Brassard Derick,31,3,9,Lower body,Pittsburgh
66,C,"6'1""",202,Brassard Derick,31,3,1,Upper body,Pittsburgh
67,LW,"5'10""",175,Bratt Jesper,20,3,13,Jaw,New Jersey
68,LW,"5'10""",175,Bratt Jesper,20,3,2,Lower body,New Jersey
69,LW,"5'10""",175,Bratt Jesper,20,3,15,Lower body,New Jersey
70,D,"6'2""",205,Braun Justin,32,1,4,Knee,San Jose
71,D,"6'2""",175,Brisebois Guillaume,21,1,7,Hip,Vancouver
72,RW,"6'1""",208,Brodzinski Jonny,26,1,59,Shoulder,Los Angeles
73,G,"6'3""",204,Brossoit Laurent,26,1,8,Lower body,Winnipeg/Atlanta
74,RW,"6'0""",210,Brown Dustin,34,1,10,Finger,Los Angeles
75,RW,"6'3""",196,Buchnevich Pavel,24,2,1,Concussion,NY Rangers
76,RW,"6'3""",196,Buchnevich Pavel,24,2,13,Thumb,NY Rangers
77,D,"5'10""",190,Butcher Will,24,1,1,Lower body,New Jersey
78,D,"6'5""",4,Byfuglien Dustin,34,4,19,Ankle,Winnipeg/Atlanta
79,D,"6'5""",4,Byfuglien Dustin,34,4,4,Concussion,Winnipeg/Atlanta
80,D,"6'5""",4,Byfuglien Dustin,34,4,15,Leg,Winnipeg/Atlanta
81,D,"6'5""",4,Byfuglien Dustin,34,4,2,Upper body,Winnipeg/Atlanta
82,RW,"5'9""",163,Byron Paul,30,4,6,Arm,Montreal
83,RW,"5'9""",163,Byron Paul,30,4,14,Lower body,Montreal
84,RW,"5'9""",163,Byron Paul,30,4,2,Upper body,Montreal
85,RW,"5'9""",163,Byron Paul,30,4,1,Wrist,Montreal
86,C,"5'10""",176,Caggiula Drake,25,3,13,Concussion,Chicago
87,C,"5'10""",176,Caggiula Drake,25,3,4,Hand,Edmonton
88,C,"5'10""",176,Caggiula Drake,25,3,3,Lower body,Edmonton
89,RW,"5'10""",187,Callahan Ryan,34,2,4,Shoulder,Tampa Bay
