Date,Team,Acquired,Relinquised,Notes
10/3/2010,Bulls,,Carlos Boozer,fractured bone in right pinky finger (out indefinitely)
10/6/2010,Pistons,,Jonas Jerebko,torn right Acchilles tendon (out indefinitely)
10/6/2010,Pistons,,Terrico White,broken fifth metatarsal in right foot (out indefinitely)
10/8/2010,Blazers,,Jeff Pendergraph / Jeff Ayres,torn ACL in right knee (out indefinitely)
10/8/2010,Nets,,Troy Murphy,strained lower back (out indefinitely)
10/8/2010,Pistons,,Jonas Jerebko,surgery to repair torn right Achilles tendon
10/8/2010,Pistons,,Terrico White,surgery on right foot to repair broken fifth metatarsal
10/9/2010,Nuggets,,Al Harrington,partially torn plantar fascia in left foot (out indefinitely)
10/12/2010,Bucks,,Darington Hobson,surgery on left hip (out for season)
10/12/2010,Kings,,Samuel Dalembert,strained left groin (out indefinitely)
10/17/2010,Bobcats,,Dominic McGuire,stress fracture in left shin (out indefinitely)
10/18/2010,Warriors,,Louis Amundson / Lou Amundson,surgery to repair fractured right index finger (out indefinitely)
10/19/2010,Suns,,Josh Childress,fractured right index finger (out indefinitely)
10/22/2010,Heat,,Mike Miller,surgery on right hand to repair a broken thumb and ligament damage (out indefinitely)
10/25/2010,Thunder,,Nick Collison,left knee injury (out indefinitely)
10/25/2010,Timberwolves,,Martell Webster,surgery on back (out indefinitely)
10/26/2010,Heat,,Mario Chalmers,sprained ankle (out indefinitely)
10/27/2010,Bucks,,Jon Brockman,sprained left ankle (DNP)
10/27/2010,Bucks,,Luc Richard Mbah a Moute / Luc Mbah a Moute,sprained right ankle (DNP)
10/28/2010,Grizzlies,,Zach Randolph,back injury (DTD)
10/28/2010,Hawks,,Maurice Evans,right knee inflammation (DTD)
10/28/2010,Spurs,,Matt Bonner,sprained right ankle (DTD)
10/29/2010,Heat,Mario Chalmers,,returned to lineup
10/29/2010,Pistons,,Will Bynum,sore right hamstring (DNP)
10/30/2010,Pistons,,Will Bynum,sore right hamstring (DNP)
11/2/2010,Pistons,,Richard Hamilton,sore right foot (DNP)
11/2/2010,Pistons,,Will Bynum,sore right hamstring (DNP)
11/3/2010,Hawks,,Jamal Crawford,turf toe (DNP)
11/3/2010,Jazz,,Jeremy Evans,sprained right wrist (DNP)
11/3/2010,Jazz,,Kyrylo Fesenko,stomach illness (DNP)
11/3/2010,Nuggets,,Nene / Nene Hilario / Maybyner Hilario,strained left groin (DNP)
11/3/2010,Pistons,,Richard Hamilton,sore right foot (DNP)
11/3/2010,Pistons,,Will Bynum,sore right hamstring (DNP)
11/3/2010,Warriors,,Brandan Wright,stomach virus (DTD)
11/4/2010,Blazers,,Elliot Williams,"dislocated patella in right knee (surgery, out for season)"
11/5/2010,Bucks,,Andrew Bogut,migraine headache (DNP)
11/5/2010,Hawks,,Marvin Williams,bone bruise in right knee (DNP)
11/5/2010,Jazz,,Jeremy Evans,sprained right ankle (DNP)
11/5/2010,Nuggets,,Nene / Nene Hilario / Maybyner Hilario,strained left groin (DNP)
11/6/2010,Blazers,,Rudy Fernandez,back injury (DNP)
