,Date,Year,Team_x,Player,Notes,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%,MP,Pos
0,10/25/2017,2017,Blazers,Meyers Leonard,sore/sprained right ankle (DTD),27,7.08,255,Illinois,USA,2012,1,11,61,5.9,3.8,1.2,-3.7,5.50%,20.60%,14.90%,67.50%,12.30%,7.7,C
1,12/13/2017,2017,Blazers,Meyers Leonard,illness (DTD),27,7.08,255,Illinois,USA,2012,1,11,61,5.9,3.8,1.2,-3.7,5.50%,20.60%,14.90%,67.50%,12.30%,7.7,C
2,12/30/2017,2017,Blazers,Meyers Leonard,ankle injury (DTD),27,7.08,255,Illinois,USA,2012,1,11,61,5.9,3.8,1.2,-3.7,5.50%,20.60%,14.90%,67.50%,12.30%,7.7,C
3,1/1/2018,2018,Kings,Frank Mason,bruised right heel (DTD),25,5.92,190,Kansas,USA,2017,2,34,38,5.1,1.1,2.2,-14.5,1.30%,8.30%,21.30%,50.20%,28.00%,18.9,PG
4,4/9/2018,2018,Kings,Frank Mason,partially torn plantar fascia in left foot (out for season),25,5.92,190,Kansas,USA,2017,2,34,38,5.1,1.1,2.2,-14.5,1.30%,8.30%,21.30%,50.20%,28.00%,18.9,PG
5,1/1/2018,2018,Rockets,James Harden,strained left hamstring (DTD),29,6.42,220,Arizona State,USA,2009,1,3,78,36.1,6.6,7.5,6.3,2.30%,15.70%,39.60%,61.60%,39.40%,35.4,SG
6,3/11/2018,2018,Rockets,James Harden,sore left knee (DTD),29,6.42,220,Arizona State,USA,2009,1,3,78,36.1,6.6,7.5,6.3,2.30%,15.70%,39.60%,61.60%,39.40%,35.4,SG
7,1/3/2018,2018,Cavaliers,Isaiah Thomas,right hip injury (DTD),30,5.75,185,Washington,USA,2011,2,60,12,8.1,1.1,1.9,-5.5,2.30%,4.00%,27.40%,43.70%,19.80%,26.9,PG
8,3/24/2018,2018,Lakers,Isaiah Thomas,right hip injury (out for season),30,5.75,185,Washington,USA,2011,2,60,12,8.1,1.1,1.9,-5.5,2.30%,4.00%,27.40%,43.70%,19.80%,26.9,PG
9,3/28/2018,2018,Lakers,Isaiah Thomas,surgery on right hip (out for season),30,5.75,185,Washington,USA,2011,2,60,12,8.1,1.1,1.9,-5.5,2.30%,4.00%,27.40%,43.70%,19.80%,26.9,PG
10,9/26/2017,2017,Cavaliers,Isaiah Thomas,right hip impingement (DTD),30,5.75,185,Washington,USA,2011,2,60,12,8.1,1.1,1.9,-5.5,2.30%,4.00%,27.40%,43.70%,19.80%,26.9,PG
11,1/2/2018,2018,Clippers,Austin Rivers,sore right Achilles (DTD),26,6.33,200,Duke,USA,2012,1,10,76,8.1,2.1,2.2,2.5,1.20%,6.50%,14.20%,50.30%,12.00%,33.7,SG
12,4/9/2018,2018,Clippers,Austin Rivers,sore right elbow (out for season),26,6.33,200,Duke,USA,2012,1,10,76,8.1,2.1,2.2,2.5,1.20%,6.50%,14.20%,50.30%,12.00%,33.7,SG
13,12/30/2017,2017,Clippers,Austin Rivers,strained right Achilles tendon (DTD),26,6.33,200,Duke,USA,2012,1,10,76,8.1,2.1,2.2,2.5,1.20%,6.50%,14.20%,50.30%,12.00%,33.7,SG
14,12/30/2017,2017,Nuggets,Malik Beasley,elbow injury (DTD),22,6.42,195,Florida State,USA,2016,1,19,81,11.3,2.5,1.2,3.9,1.80%,8.50%,18.10%,59.90%,7.40%,9.4,SG
15,11/1/2017,2017,Heat,James Johnson,tendinitis in right knee (DTD),32,6.67,240,Wake Forest,USA,2009,1,16,55,7.8,3.2,2.5,-4.6,1.80%,12.30%,17.70%,52.20%,16.70%,26.6,PF
16,12/17/2017,2017,Heat,James Johnson,right ankle injury (DTD),32,6.67,240,Wake Forest,USA,2009,1,16,55,7.8,3.2,2.5,-4.6,1.80%,12.30%,17.70%,52.20%,16.70%,26.6,PF
17,12/18/2017,2017,Heat,James Johnson,bursitis in right ankle (DTD),32,6.67,240,Wake Forest,USA,2009,1,16,55,7.8,3.2,2.5,-4.6,1.80%,12.30%,17.70%,52.20%,16.70%,26.6,PF
18,12/26/2017,2017,Heat,James Johnson,bursitis in right ankle (DTD),32,6.67,240,Wake Forest,USA,2009,1,16,55,7.8,3.2,2.5,-4.6,1.80%,12.30%,17.70%,52.20%,16.70%,26.6,PF
19,1/3/2018,2018,Pistons,Andre Drummond,bruised right rib (DTD),25,6.92,279,Connecticut,USA,2012,1,9,79,17.3,15.6,1.4,3.3,15.10%,31.10%,22.60%,55.50%,6.80%,33.7,C
20,1/6/2018,2018,Pistons,Andre Drummond,bruised right rib (DTD),25,6.92,279,Connecticut,USA,2012,1,9,79,17.3,15.6,1.4,3.3,15.10%,31.10%,22.60%,55.50%,6.80%,33.7,C
21,1/11/2018,2018,Spurs,Tony Parker,sprained right ankle (DTD),37,6.17,185,None,France,2001,1,28,56,9.5,1.5,3.7,-0.1,1.30%,6.70%,24.70%,51.20%,33.10%,19.5,PG
22,2/9/2018,2018,Spurs,Tony Parker,tightness in back (DTD),37,6.17,185,None,France,2001,1,28,56,9.5,1.5,3.7,-0.1,1.30%,6.70%,24.70%,51.20%,33.10%,19.5,PG
23,2/11/2018,2018,Spurs,LaMarcus Aldridge,sore right knee (DTD),33,6.92,260,Texas,USA,2006,1,2,81,21.3,9.2,2.4,1.5,9.60%,18.00%,26.80%,57.60%,11.50%,33.5,C
24,3/11/2018,2018,Spurs,LaMarcus Aldridge,sore right knee (DTD),33,6.92,260,Texas,USA,2006,1,2,81,21.3,9.2,2.4,1.5,9.60%,18.00%,26.80%,57.60%,11.50%,33.5,C
25,1/5/2018,2018,Suns,Isaiah Canaan,strained left adductor (DTD),28,6,200,Murray State,USA,2013,2,34,30,6,1.9,2.8,-12.3,1.00%,8.60%,14.70%,51.80%,19.40%,21.1,PG-SG
26,1/31/2018,2018,Suns,Isaiah Canaan,fractured left ankle (out indefinitely),28,6,200,Murray State,USA,2013,2,34,30,6,1.9,2.8,-12.3,1.00%,8.60%,14.70%,51.80%,19.40%,21.1,PG-SG
27,1/6/2018,2018,Celtics,Al Horford,sore left calf / knee injury (DTD),33,6.83,245,Florida,Dominican Rep...,2007,1,3,68,13.6,6.7,4.2,6.1,6.20%,16.10%,18.80%,60.50%,20.30%,31.6,C
28,1/24/2018,2018,Celtics,Al Horford,concussion (DTD),33,6.83,245,Florida,Dominican Rep...,2007,1,3,68,13.6,6.7,4.2,6.1,6.20%,16.10%,18.80%,60.50%,20.30%,31.6,C
29,3/28/2018,2018,Celtics,Al Horford,ankle injury (DTD),33,6.83,245,Florida,Dominican Rep...,2007,1,3,68,13.6,6.7,4.2,6.1,6.20%,16.10%,18.80%,60.50%,20.30%,31.6,C
30,1/6/2018,2018,Clippers,Milos Teodosic,sore plantar fascia in left foot (DTD),32,6.42,196,None,Serbia,Undrafted,Undrafted,Undrafted,15,3.2,1.1,2.1,5.4,2.10%,8.40%,17.10%,55.70%,26.00%,25.2,PG
31,2/9/2018,2018,Clippers,Milos Teodosic,sore right foot (DTD),32,6.42,196,None,Serbia,Undrafted,Undrafted,Undrafted,15,3.2,1.1,2.1,5.4,2.10%,8.40%,17.10%,55.70%,26.00%,25.2,PG
32,3/28/2018,2018,Clippers,Milos Teodosic,plantar fascia in left foot (out for season),32,6.42,196,None,Serbia,Undrafted,Undrafted,Undrafted,15,3.2,1.1,2.1,5.4,2.10%,8.40%,17.10%,55.70%,26.00%,25.2,PG
33,10/22/2017,2017,Clippers,Milos Teodosic,plantar fascia in left foot (out indefinitely),32,6.42,196,None,Serbia,Undrafted,Undrafted,Undrafted,15,3.2,1.1,2.1,5.4,2.10%,8.40%,17.10%,55.70%,26.00%,25.2,PG
34,1/6/2018,2018,Magic,Jonathon Simmons,back spasms (DTD),29,6.5,195,Houston,USA,Undrafted,Undrafted,Undrafted,56,6.5,2.3,2.3,-5.3,2.40%,9.00%,18.20%,46.60%,17.50%,29.4,SG
35,3/20/2018,2018,Magic,Jonathon Simmons,bruised right wrist (out for season),29,6.5,195,Houston,USA,Undrafted,Undrafted,Undrafted,56,6.5,2.3,2.3,-5.3,2.40%,9.00%,18.20%,46.60%,17.50%,29.4,SG
36,1/6/2018,2018,Spurs,Kawhi Leonard,partial tear in left shoulder (DTD),28,6.58,230,San Diego State,USA,2011,1,15,60,26.6,7.3,3.3,7.9,3.90%,16.50%,30.00%,60.60%,15.90%,23.3,SF
37,1/15/2018,2018,Spurs,Kawhi Leonard,right quadriceps injury / rest (DTD),28,6.58,230,San Diego State,USA,2011,1,15,60,26.6,7.3,3.3,7.9,3.90%,16.50%,30.00%,60.60%,15.90%,23.3,SF
