Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%,Pos,MP
Aaron Gordon,ORL,23.0,6-9,220.0,Arizona,USA,2014,1,4,78.0,16.0,7.4,3.7,1.5,4.7%,16.5%,21.3%,53.8%,16.6%,PF,32.9
Aaron Holiday,IND,22.0,6-1,185.0,California-Los Angeles,USA,2018,1,23,50.0,5.9,1.3,1.7,7.0,0.8%,8.8%,20.6%,51.8%,18.0%,,
Abdel Nader,OKC,25.0,6-6,225.0,Iowa State,Egypt,2016,2,58,61.0,4.0,1.9,0.3,-9.5,1.7%,13.9%,14.8%,52.2%,4.4%,SF,10.9
Al Horford,BOS,33.0,6-10,245.0,Florida,Dominican Rep...,2007,1,3,68.0,13.6,6.7,4.2,6.1,6.2%,16.1%,18.8%,60.5%,20.3%,C,31.6
Al-Farouq Aminu,POR,28.0,6-9,220.0,Wake Forest,USA,2010,1,8,81.0,9.4,7.5,1.3,8.2,4.8%,20.4%,13.4%,56.8%,5.7%,PF,30.0
Alan Williams,BKN,26.0,6-8,265.0,California-Santa Barbara,USA,Undrafted,Undrafted,Undrafted,5.0,3.6,3.8,0.6,27.1,11.4%,40.5%,22.2%,61.0%,17.6%,PF,14.0
Alec Burks,SAC,27.0,6-6,214.0,Colorado,USA,2011,1,12,64.0,8.8,3.7,2.0,-11.1,2.1%,15.1%,18.5%,52.3%,14.2%,SG,16.5
Alex Abrines,OKC,25.0,6-6,200.0,None,Spain,2013,2,32,31.0,5.3,1.5,0.6,1.6,0.7%,6.7%,12.0%,50.7%,4.7%,SG,15.1
Alex Caruso,LAL,25.0,6-5,186.0,Texas A&M,USA,Undrafted,Undrafted,Undrafted,25.0,9.2,2.7,3.1,3.2,3.5%,7.9%,18.4%,56.9%,20.5%,PG,15.2
Alex Len,ATL,26.0,7-1,250.0,Maryland,Ukraine,2013,1,5,77.0,11.1,5.5,1.1,-4.4,9.0%,15.9%,21.4%,57.5%,8.6%,C,20.2
Alex Poythress,ATL,25.0,6-9,235.0,Kentucky,USA,Undrafted,Undrafted,Undrafted,21.0,5.1,3.6,0.8,-10.0,8.5%,15.1%,14.0%,57.1%,8.5%,PF,4.2
Alfonzo McKinnie,GSW,26.0,6-8,215.0,None,USA,Undrafted,Undrafted,Undrafted,72.0,4.7,3.4,0.4,0.9,7.5%,15.2%,13.1%,56.9%,4.1%,SF,3.8
