,PLAYER,TEAM,GP,G,A,PTS,+/-,TOI/G,SHFT,SHFT/G,PROD,POS,hr,min,sec,TIMES
0,Suter Ryan,MIN,82.0,7,40,47,-8,26:42:00,2222,27.1,46:34:00, D,26.0,42.0,00,2132.0
1,Doughty Drew,LA,82.0,8,37,45,-34,26:36:00,2393,29.2,48:27:00, D,26.0,36.0,00,2132.0
2,Letang Kris,PIT,65.0,16,40,56,13,25:58:00,1923,29.6,30:07:00, D,25.0,58.0,00,1625.0
3,Jones Seth,CBJ,75.0,9,37,46,1,25:49:00,2214,29.5,42:06:00, D,25.0,49.0,00,1875.0
4,Josi Roman,NSH,82.0,15,41,56,9,25:10:00,2359,28.8,36:51:00, D,25.0,10.0,00,2050.0
5,Provorov Ivan,PHI,82.0,7,19,26,-16,25:07:00,2369,28.9,79:12:00, D,25.0,7.0,00,2050.0
6,Burns Brent,SJ,82.0,16,67,83,13,25:06:00,2200,26.8,24:47:00, D,25.0,6.0,00,2050.0
7,Carlson John,WSH,80.0,13,57,70,21,25:04:00,2041,25.5,28:38:00, D,25.0,4.0,00,2000.0
8,Ristolainen Rasmus,BUF,78.0,5,38,43,-41,24:38:00,2076,26.6,44:41:00, D,24.0,38.0,00,1872.0
9,Edler Alexander,VAN,56.0,10,24,34,3,24:34:00,1683,30.1,40:28:00, D,24.0,34.0,00,1344.0
10,Klingberg John,DAL,64.0,10,35,45,6,24:32:00,1719,26.9,34:53:00, D,24.0,32.0,00,1536.0
11,Karlsson Erik,SJ,53.0,3,42,45,6,24:29:00,1384,26.1,28:50:00, D,24.0,29.0,00,1272.0
12,Byfuglien Dustin,WPG,42.0,4,27,31,4,24:22:00,991,23.6,33:00:00, D,24.0,22.0,00,1008.0
13,Lindell Esa,DAL,82.0,11,21,32,14,24:20:00,2314,28.2,62:20:00, D,24.0,20.0,00,1968.0
14,Chabot Thomas,OTT,70.0,14,41,55,-12,24:17:00,1936,27.7,30:54:00, D,24.0,17.0,00,1680.0
15,Giordano Mark,CGY,78.0,17,57,74,39,24:14:00,2177,27.9,25:33:00, D,24.0,14.0,00,1872.0
16,Spurgeon Jared,MIN,82.0,14,29,43,-1,24:09:00,2170,26.5,46:02:00, D,24.0,9.0,00,1968.0
17,Pietrangelo Alex,STL,71.0,13,28,41,2,24:05:00,2061,29.0,41:41:00, D,24.0,5.0,00,1704.0
18,Ellis Ryan,NSH,82.0,7,34,41,21,24:01:00,2320,28.3,48:01:00, D,24.0,1.0,00,1968.0
19,Lindholm Hampus,ANA,76.0,6,22,28,-5,24:00:00,2281,30.0,65:07:00, D,24.0,0.0,00,1824.0
20,Klefbom Oscar,EDM,61.0,5,23,28,-11,23:59,1695,27.8,52:14:00, D,23.0,59.0,,1403.0
21,Nurse Darnell,EDM,82.0,10,31,41,-5,23:49,2306,28.1,47:38:00, D,23.0,49.0,,1886.0
22,Ekblad Aaron,FLA,82.0,13,24,37,1,23:39,2468,30.1,52:24:00, D,23.0,39.0,,1886.0
